148,2,23,-1
149,3,38,1
150,5,58,-1
151,7,82,-1
152,4,21,-1
153,11,40,-1
154,4,46,-1
155,13,57,-1
156,3,34,-1
157,18,78,-1
158,16,70,-1
159,4,22,1
160,4,23,1
161,12,50,-1
162,4,28,-1
163,4,70,-1
164,3,52,-1
165,6,34,-1
166,5,74,-1
167,3,23,-1
168,5,38,-1
169,9,60,-1
170,1,9,-1
171,2,29,-1
172,2,17,-1
173,9,72,1
174,5,41,-1
175,16,82,-1
176,5,51,1
177,4,34,-1
178,8,50,1
179,7,38,-1
180,2,41,-1
181,16,98,-1
182,7,39,-1
183,7,47,-1
184,7,62,1
185,3,21,1
186,7,64,-1
187,1,11,1
188,4,30,-1
189,38,98,-1
190,6,58,-1
191,2,21,-1
192,5,50,-1
193,6,40,-1
194,3,26,-1
195,2,26,-1
196,6,51,-1
197,2,24,-1
198,3,71,-1
199,6,71,-1
200,15,57,-1
201,4,38,-1
202,5,40,1
203,2,51,1
204,3,31,-1
205,2,52,-1
206,4,65,-1
207,4,40,-1
208,3,40,1
209,1,14,-1
210,7,72,-1
211,7,73,-1
212,4,58,-1
213,4,59,-1
214,2,59,-1
215,4,61,-1
216,10,89,-1
217,8,76,-1
218,5,64,-1
219,3,41,-1
220,1,16,-1
221,4,45,-1
222,2,27,-1
223,4,57,-1
224,5,60,-1
225,7,87,1
226,4,64,-1
227,2,35,-1
228,7,93,-1
229,2,25,-1
230,14,93,-1
231,8,95,-1
232,3,46,-1
233,3,76,-1
234,8,64,-1
235,3,50,-1
236,3,33,-1
237,2,28,-1
238,1,21,-1
239,4,52,-1
240,1,22,1
241,2,70,-1
242,3,83,-1
243,5,49,1
244,6,70,-1
245,1,23,-1
246,4,53,-1
247,6,86,-1
248,3,48,-1
249,3,64,-1
250,3,70,-1
251,4,87,-1
252,3,89,-1
253,2,87,-1
254,1,38,-1
255,1,40,-1
256,1,74,-1
257,43,86,1
258,22,28,1
259,34,77,1
260,44,98,-1
261,26,76,1
262,41,98,1
263,21,42,1
264,21,52,1
265,13,32,1
266,11,26,-1
267,14,35,-1
268,16,38,1
269,5,12,1
270,33,98,1
271,10,33,1
272,11,41,1
273,13,39,1
274,10,43,1
275,4,11,-1
276,15,64,-1
277,24,79,-1
278,7,32,1
279,10,52,-1
280,14,95,-1
281,3,11,-1
282,12,70,1
283,4,18,-1
284,6,30,-1
285,11,64,1
286,9,52,-1
287,10,47,-1
288,9,75,-1
289,9,55,-1
290,6,45,-1
291,6,38,1
292,4,29,1
293,5,18,-1
294,11,38,-1
295,11,49,1
296,11,75,-1
297,1,3,1
298,6,43,-1
299,11,39,-1
300,6,46,-1
301,2,13,-1
302,11,95,-1
303,7,77,-1
304,9,54,-1
305,5,63,-1
306,11,89,-1
307,9,64,-1
308,2,22,-1
309,15,71,-1
310,16,89,-1
311,4,27,-1
312,9,89,1
313,5,52,-1
314,2,33,-1
315,5,27,-1
316,2,30,-1
317,16,77,-1
318,2,31,-1
319,7,45,-1
320,8,72,-1
321,3,75,1
322,3,77,-1
323,15,87,-1
324,14,83,-1
325,10,62,-1
326,19,62,-1
327,7,75,-1
328,14,69,1
329,2,46,-1
330,3,37,-1
331,4,33,-1
332,6,50,-1
333,4,74,-1
334,2,38,1
335,6,48,-1
336,6,81,-1
337,5,71,-1
338,8,69,-1
339,3,39,-1
340,3,79,-1
341,7,88,-1
342,3,86,-1
343,3,62,-1
344,1,39,-1
345,1,72,-1
